id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown Up,Verse Capital,hip-hop,confident,0.78,95,0.72,0.85,0.08
12,Golden Hour,Sienna Vale,r&b,romantic,0.55,85,0.78,0.70,0.30
13,Morning Prelude,Clara Weston,classical,peaceful,0.20,68,0.62,0.25,0.97
14,Dirt Road Memory,The Holloways,country,nostalgic,0.48,96,0.66,0.60,0.75
15,Iron Veil,Fractured Sky,metal,angry,0.97,168,0.22,0.45,0.03
16,Groove Station,Funkwell,funk,uplifting,0.74,108,0.88,0.92,0.40
17,Porch Light,Elm & Ash,folk,melancholic,0.32,74,0.38,0.42,0.88
18,Signal Drop,NVRFADE,edm,euphoric,0.95,140,0.80,0.94,0.04
